z_soid,vszam,bevetel,haszonkulcs,vnap
294,2,551166.0,10.37,525
295,2,672433.0,7.285,29
296,20,7331645.0,12.285500000000004,17
297,37,2495587.0,7.255945945945948,57
298,30,2049509.0,10.322666666666665,23
299,6,391929.0,17.535,170
300,1,91331.0,17.45,927
301,3,810031.0,35.27333333333333,330
302,7,1873733.0,30.51,42
303,2,388000.0,35.485,521
304,6,1350189.0,36.82833333333334,58
305,8,2313378.0,30.988750000000003,65
306,9,3312338.0,33.38666666666667,2
307,3,1720140.0,34.25666666666667,24
308,2,1873433.0,27.34,42
309,1,12276.0,17.45,1195
310,1,13386.0,12.01,1548
311,2,23370.0,16.045,1276
312,1,40260.0,4.99,513
313,2,101000.0,5.1850000000000005,266
314,19,716107.0,9.525789473684211,9
315,12,619884.0,11.426666666666668,1061
316,4,142086.0,7.115,18
317,18,517741.0,13.112777777777776,254
318,2,844000.0,38.89,1003
319,1,407874.0,27.3,391
320,34,525565.0,7.060588235294116,2
321,1,72433.0,9.32,1003
322,20,499666.0,7.1905,3
323,15,403094.0,5.791333333333335,5
324,13,576335.0,10.218461538461538,21
325,8,711969.0,5.833749999999999,23
326,126,3749635.0,8.620952380952385,10
327,14,446017.0,11.072142857142856,540
328,9,348831.0,14.20111111111111,270
329,4,229244.0,5.0025,499
330,2,251952.0,18.39,1853
331,1,62984.0,27.47,1765
332,3,135380.0,5.966666666666666,86
333,1,80551.0,11.53,1836
334,15,319451.0,7.629333333333334,12
335,43,1079422.0,13.863720930232558,25
336,4,1056000.0,28.555,164
337,2,591000.0,31.77,99
338,2,480000.0,33.33,1467
339,1,295638.0,29.24,1858
340,1,16370.0,4.99,984
341,6,123812.0,10.495,954
342,6,183921.0,10.986666666666666,813
343,5,604039.0,9.954,69
344,58,6747905.0,10.27137931034483,23
345,3,189992.0,18.75,1395
346,51,7757688.0,6.607647058823529,14
347,14,2131575.0,10.487857142857145,48
348,3,297953.0,7.19,918
349,3,325161.0,8.120000000000001,842
350,6,152669.0,9.043333333333331,109
351,2,64154.0,15.7,1408
352,8,340712.0,7.835000000000001,503
353,6,251358.0,12.505,210
354,18,1011346.0,7.392222222222224,4
355,3,278551.0,14.003333333333336,1340
356,13,169231.0,18.92846153846154,13
357,6,114050.0,13.3,459
358,3,134772.0,18.273333333333333,723
359,1,40866.0,14.33,1618
360,18,926485.0,11.183333333333334,136
361,30,466613.0,9.111333333333333,7
362,128,1983366.0,10.185781250000003,22
363,2,73717.0,9.185,120
364,214,2819206.0,26.08144859813088,15
365,55,1681941.0,6.567454545454546,1
366,9,221927.0,7.068888888888888,197
367,2,78122.0,5.69,976
368,11,869369.0,10.678181818181816,306
369,9,374788.0,15.174444444444443,1420
370,110,2994277.0,7.996818181818199,22
